41,36,-16,46,70,16,26,-6,21,angry
99,72,6,44,57,41,35,23,30,angry
93,49,15,34,45,44,32,19,12,worried
49,87,-19,38,69,38,45,24,29,surprised
84,79,9,33,53,31,47,9,10,neutral
46,42,-2,59,78,41,33,-6,17,other
97,37,5,57,76,47,16,20,24,angry
71,41,-15,44,60,40,18,14,12,neutral
70,38,2,40,70,10,24,28,15,sad
40,41,18,57,53,8,34,-6,17,angry
51,33,-3,59,74,31,28,-10,29,worried
61,48,-9,53,60,27,17,-2,9,angry
66,41,-5,12,60,33,48,-17,14,surprised
75,33,9,41,79,8,37,16,18,sad
64,78,-4,26,66,44,49,5,17,surprised
54,67,6,46,42,36,27,-3,26,angry
94,53,18,11,78,46,12,24,29,sad
67,76,-16,46,52,48,29,-24,15,angry
64,43,12,40,59,0,42,-20,16,angry
90,31,-19,12,67,11,21,-9,13,angry
48,30,-18,32,74,15,38,-11,13,surprised
68,75,13,23,76,23,38,30,6,sad
56,38,11,52,53,15,36,-6,8,sad
98,72,7,45,40,1,25,4,11,other
50,76,14,23,52,6,22,0,21,neutral
68,71,-11,47,68,28,18,-18,16,angry
50,72,7,29,77,31,17,12,13,neutral
69,57,-9,23,62,12,11,-5,25,angry
93,48,1,38,72,32,34,16,13,angry
50,47,-14,22,69,11,43,25,13,angry
80,43,-5,36,67,4,36,24,23,neutral
42,77,5,21,57,7,43,-15,17,neutral
51,54,-1,50,47,16,12,-6,25,neutral
65,30,5,25,48,3,33,21,6,worried
90,59,-16,22,48,29,48,18,14,other
49,45,3,53,61,17,25,28,25,sad
57,54,15,42,61,24,31,-3,27,other
59,48,-19,39,80,44,41,19,20,happy
83,54,-19,26,73,31,13,-25,16,other
91,42,-12,60,43,6,38,-7,11,surprised
67,37,-15,19,59,38,47,-7,21,happy
81,47,18,29,78,8,17,14,20,sad
58,66,19,34,49,19,37,2,14,other
84,53,11,45,50,18,46,6,25,worried
76,62,-3,29,56,32,42,-22,9,neutral
92,89,-7,38,69,20,15,-12,13,neutral
48,70,11,22,60,0,26,-20,8,other
60,65,-17,24,74,25,43,22,7,happy
89,64,15,19,62,47,22,11,17,sad
79,66,13,13,46,43,47,3,5,worried
61,33,14,50,42,31,34,17,11,sad
99,85,6,17,48,33,44,15,10,neutral
53,32,-7,38,43,33,30,19,23,surprised
46,82,-7,45,54,46,18,-10,19,happy
92,74,-6,45,64,4,14,-7,14,other
94,63,-6,50,51,32,49,9,13,surprised
92,85,8,53,73,30,44,15,12,surprised
86,54,8,54,76,24,45,-11,14,neutral
92,70,-12,38,76,2,41,-13,30,neutral
46,70,16,48,57,29,35,29,19,neutral
52,73,13,23,72,32,18,6,23,other
54,55,-19,33,51,32,29,-7,10,happy
73,31,-7,59,56,29,10,-12,22,other
99,90,-1,50,73,5,48,5,11,neutral
89,63,-19,45,50,32,12,20,8,happy
74,60,0,43,80,13,26,-17,16,worried
93,88,17,23,53,33,13,-23,19,angry
93,70,-2,34,45,42,17,-29,26,angry
82,86,-8,49,53,31,16,20,19,surprised
60,63,-20,52,57,29,19,-19,8,happy
47,88,16,14,74,25,35,-22,27,neutral
48,77,13,42,59,9,21,9,16,neutral
83,49,13,18,52,48,42,19,18,sad
76,82,-17,29,45,3,14,5,19,happy
94,87,-15,19,55,21,32,-24,16,neutral
57,72,18,56,49,5,29,-23,20,angry
45,72,0,46,47,11,30,16,19,neutral
64,40,-11,13,68,43,20,27,20,neutral
43,64,2,31,61,28,41,-17,15,neutral
57,57,-1,40,75,18,43,-27,10,neutral
46,41,15,58,74,34,40,0,29,worried
93,62,18,19,56,44,21,-4,22,angry
76,68,16,42,64,26,33,-13,27,angry
68,31,13,26,67,38,20,0,9,neutral
98,64,15,12,42,23,18,6,18,neutral
63,77,-11,46,57,43,41,14,6,surprised
64,63,9,55,72,40,13,-7,30,angry
51,59,-1,25,40,37,39,-11,8,happy
91,85,-17,35,51,10,44,-23,19,other
73,63,6,10,74,37,35,-28,9,other
52,41,-18,39,41,19,28,-28,17,other
48,64,0,33,44,0,40,4,15,neutral
73,75,4,47,46,6,31,-19,27,angry
64,61,-2,25,55,47,15,-22,5,neutral
71,36,7,44,46,38,32,5,28,sad
43,77,4,43,43,8,12,-29,7,angry
96,74,-18,16,58,48,35,-8,12,happy
72,44,7,33,47,12,39,-27,24,angry
42,41,-13,45,64,14,41,-23,29,angry
94,79,-16,50,51,26,45,4,30,surprised
71,62,0,21,46,10,30,-22,28,angry
73,84,18,20,70,0,41,29,9,sad
42,34,-17,20,80,3,14,28,26,happy
63,40,-17,30,49,40,39,28,16,surprised
83,40,11,38,56,34,25,28,25,sad
80,56,15,56,69,4,43,21,11,sad
53,53,-15,24,55,34,42,29,20,surprised
80,47,-13,33,49,8,45,-20,19,surprised
60,84,-7,49,61,47,35,0,21,surprised
42,73,9,24,71,25,27,-11,20,angry
56,84,7,39,79,10,17,23,15,worried
65,42,-14,26,49,18,23,-19,12,other
44,78,13,59,65,17,40,-18,10,other
56,88,-4,51,56,47,40,28,12,surprised
42,57,-7,40,64,2,13,-18,16,angry
89,82,19,46,57,12,14,5,18,sad
84,56,11,54,43,20,40,-3,30,surprised
61,56,-16,14,51,32,41,14,6,happy
63,53,1,52,51,10,49,21,16,worried
59,55,14,15,71,41,35,-19,20,angry
92,33,2,15,72,1,26,-2,21,angry
79,51,18,25,48,8,11,28,7,worried
73,56,-11,42,44,15,27,14,24,surprised
53,44,-10,23,51,5,23,15,9,happy
67,84,-15,33,67,34,18,21,29,surprised
66,69,-10,24,42,33,26,-27,13,angry
80,76,7,17,62,30,38,19,20,sad
93,46,-3,18,52,27,11,-11,27,angry
93,37,14,16,74,16,24,18,6,worried
49,85,1,31,71,34,11,27,16,other
42,76,4,32,66,39,37,15,8,surprised
73,46,18,36,65,34,36,-13,21,angry
67,88,-9,60,59,4,42,4,25,happy
48,30,-2,42,63,14,37,-30,14,angry
74,82,2,27,77,16,10,-4,15,angry
41,72,-11,43,76,32,25,0,23,surprised
89,48,-14,57,46,38,34,18,9,happy
66,35,12,26,57,23,28,4,10,neutral
51,89,10,57,49,21,19,-25,8,angry
57,77,-17,54,69,21,26,19,14,surprised
62,89,2,42,41,8,42,-11,26,angry
57,45,-7,58,40,32,24,7,27,happy
72,87,15,21,42,32,47,14,24,sad
70,73,0,16,64,23,24,-26,29,angry
67,72,18,41,58,44,36,-6,28,surprised
86,44,16,16,58,44,21,26,24,sad
88,44,-3,33,59,41,19,-17,13,angry
49,81,-8,12,79,18,32,-7,6,happy
89,58,-3,52,49,6,26,-7,20,angry
79,62,13,56,49,33,12,16,17,sad
71,63,-3,59,44,21,42,17,29,surprised
47,43,4,34,41,33,47,16,14,surprised
57,56,1,38,49,48,15,-13,27,angry
41,80,-5,45,78,21,16,5,12,happy
92,56,3,14,74,26,45,26,25,surprised
76,83,7,34,66,23,34,-28,12,angry
87,58,-14,47,59,12,36,26,8,happy
91,81,8,24,57,49,16,-18,16,angry
84,82,-6,16,76,18,45,6,22,neutral
93,77,14,56,64,6,48,29,26,sad
77,54,-8,13,54,37,49,-6,27,happy
78,33,-16,38,42,6,30,25,28,happy
77,56,1,18,49,38,48,20,6,neutral
73,53,12,11,40,6,19,-28,15,angry
55,47,4,46,50,12,34,-2,30,angry
96,65,-8,27,77,29,29,0,22,happy
58,88,-12,54,47,38,34,-6,16,surprised
94,59,-7,27,41,13,39,-22,23,angry
87,85,-18,50,62,12,34,14,29,happy
99,51,-10,53,74,26,18,-19,10,other
52,59,7,58,43,37,37,6,26,worried
94,79,-5,14,53,25,28,-9,6,neutral
66,33,1,34,61,45,25,29,8,surprised
55,64,-6,58,62,17,27,26,17,happy
46,78,-11,11,58,43,30,-23,11,neutral
75,51,6,20,53,8,21,-18,10,angry
96,81,6,33,67,30,34,29,19,surprised
54,88,-15,59,48,34,28,28,18,happy
65,45,-2,46,68,48,27,-29,16,angry
82,72,3,16,68,42,33,-28,29,angry
49,78,14,40,44,34,35,3,16,worried
70,42,-17,49,55,15,13,-12,20,other
86,33,5,16,60,47,19,19,6,worried
77,57,-15,56,42,12,46,-18,9,angry
89,78,-1,40,77,12,14,22,12,sad
69,43,-5,42,52,26,11,22,18,happy
93,51,4,33,75,12,23,29,5,neutral
98,40,12,14,63,30,16,-20,18,angry
47,87,18,18,66,34,34,-28,16,angry
52,78,8,12,59,43,30,-25,14,angry
53,46,4,44,42,13,43,-9,15,angry
51,31,18,55,58,36,20,-3,25,angry
65,36,3,40,75,37,44,-1,5,other
76,47,-1,24,48,14,37,-13,18,angry
95,71,17,24,49,32,28,26,5,sad
83,37,-6,53,50,48,43,-4,12,surprised
56,31,2,39,60,16,47,3,14,neutral
86,60,-5,42,72,41,31,9,14,surprised
94,90,5,53,60,34,25,-7,13,surprised
87,45,9,31,40,6,29,15,29,worried
76,89,10,10,45,46,28,16,8,sad
59,56,10,43,73,10,27,25,11,sad
62,67,10,29,79,20,17,6,20,worried
85,41,-20,17,62,0,38,0,7,happy
73,43,18,28,67,26,26,-10,24,angry
85,89,16,47,60,24,12,-6,28,angry
47,31,-6,21,53,18,15,5,27,other
52,39,-15,35,68,26,32,-6,28,happy
65,78,4,16,70,16,17,0,24,neutral
56,66,19,53,51,35,34,14,5,surprised
93,65,3,54,73,7,26,-2,24,neutral
69,75,18,15,75,24,13,-9,8,angry
99,68,14,35,65,3,35,-21,13,neutral
94,58,-12,11,56,49,19,28,15,happy
92,41,-19,13,53,14,19,-17,16,angry
94,36,15,12,68,37,12,-7,7,neutral
96,71,6,11,69,38,26,-19,18,neutral
40,68,5,27,41,8,16,21,23,worried
77,82,-19,59,52,7,24,-14,24,happy
54,75,-4,50,43,3,23,-7,11,neutral
90,62,-3,55,56,4,30,10,22,other
74,63,0,56,58,9,41,-18,8,neutral
41,80,-18,16,41,5,47,4,11,happy
67,43,-1,59,68,5,10,27,24,neutral
58,86,10,45,71,16,40,-14,7,neutral
69,57,11,60,65,45,11,17,21,other
62,86,19,11,70,1,24,6,17,worried
56,66,-2,15,56,43,25,2,16,neutral
60,75,14,45,70,33,46,3,18,surprised
61,31,12,47,45,25,33,10,20,worried
97,56,-1,35,60,18,40,16,19,neutral
75,40,12,53,59,40,31,-20,15,angry
97,57,9,17,43,15,10,21,28,worried
93,67,10,13,68,48,35,-6,26,neutral
74,41,-6,18,70,17,20,3,5,neutral
43,74,-3,35,72,49,26,6,14,neutral
81,78,-5,20,44,5,49,1,15,other
85,45,-16,29,67,40,31,15,16,happy
92,40,-18,43,68,44,43,28,28,happy
44,38,4,54,71,27,35,-23,29,angry
52,59,-10,32,75,30,33,1,29,happy
